index,pyrazine,time,aphid_count
1,Yes,1,6
2,Yes,1,4
3,Yes,1,1
4,Yes,1,8
5,Yes,1,12
6,Yes,1,0
7,Yes,1,3
8,Yes,1,4
9,Yes,1,12
10,Yes,1,4
11,No,1,3
12,No,1,2
13,No,1,2
14,No,1,1
15,No,1,2
16,No,1,2
17,No,1,3
18,No,1,2
19,No,1,3
20,No,1,1
21,Exp,1,2
22,Exp,1,1
23,Exp,1,3
24,Exp,1,1
25,Exp,1,3
26,Exp,1,0
27,Exp,1,1
28,Exp,1,1
29,Exp,1,0
30,Exp,1,1
31,Yes,4,4
32,Yes,4,3
33,Yes,4,1
34,Yes,4,3
35,Yes,4,3
36,Yes,4,2
37,Yes,4,6
38,Yes,4,5
39,Yes,4,6
40,Yes,4,5
41,No,4,3
42,No,4,2
43,No,4,4
44,No,4,1
45,No,4,4
46,No,4,3
47,No,4,0
48,No,4,0
49,No,4,3
50,No,4,1
51,Exp,4,3
52,Exp,4,0
53,Exp,4,0
54,Exp,4,0
55,Exp,4,0
56,Exp,4,0
57,Exp,4,0
58,Exp,4,0
59,Exp,4,0
60,Exp,4,0
61,Yes,5,3
62,Yes,5,3
63,Yes,5,1
64,Yes,5,5
65,Yes,5,2
66,Yes,5,3
67,Yes,5,4
68,Yes,5,2
69,Yes,5,6
70,Yes,5,3
71,No,5,1
72,No,5,1
73,No,5,1
74,No,5,2
75,No,5,2
76,No,5,4
77,No,5,0
78,No,5,0
79,No,5,1
80,No,5,0
81,Exp,5,0
82,Exp,5,0
83,Exp,5,1
84,Exp,5,0
85,Exp,5,3
86,Exp,5,1
87,Exp,5,1
88,Exp,5,0
89,Exp,5,0
90,Exp,5,0
91,Yes,6,4
92,Yes,6,7
93,Yes,6,0
94,Yes,6,5
95,Yes,6,3
96,Yes,6,5
97,Yes,6,4
98,Yes,6,6
99,Yes,6,6
100,Yes,6,8
101,No,6,1
102,No,6,2
103,No,6,2
104,No,6,1
105,No,6,2
106,No,6,4
107,No,6,0
108,No,6,0
109,No,6,0
110,No,6,0
111,Exp,6,2
112,Exp,6,0
113,Exp,6,1
114,Exp,6,1
115,Exp,6,0
116,Exp,6,0
117,Exp,6,0
118,Exp,6,0
119,Exp,6,0
120,Exp,6,0
121,Yes,7,2
122,Yes,7,2
123,Yes,7,1
124,Yes,7,6
125,Yes,7,6
126,Yes,7,3
127,Yes,7,2
128,Yes,7,2
129,Yes,7,10
130,Yes,7,4
131,No,7,1
132,No,7,1
133,No,7,4
134,No,7,3
135,No,7,5
136,No,7,1
137,No,7,0
138,No,7,0
139,No,7,0
140,No,7,0
141,Exp,7,3
142,Exp,7,0
143,Exp,7,1
144,Exp,7,0
145,Exp,7,2
146,Exp,7,1
147,Exp,7,0
148,Exp,7,0
149,Exp,7,2
150,Exp,7,0
151,Yes,8,4
152,Yes,8,2
153,Yes,8,0
154,Yes,8,5
155,Yes,8,7
156,Yes,8,1
157,Yes,8,5
158,Yes,8,4
159,Yes,8,10
160,Yes,8,6
161,No,8,0
162,No,8,0
163,No,8,4
164,No,8,0
165,No,8,5
166,No,8,6
167,No,8,0
168,No,8,0
169,No,8,1
170,No,8,0
171,Exp,8,3
172,Exp,8,0
173,Exp,8,0
174,Exp,8,1
175,Exp,8,0
176,Exp,8,1
177,Exp,8,0
178,Exp,8,0
179,Exp,8,2
180,Exp,8,0
181,Yes,11,6
182,Yes,11,4
183,Yes,11,1
184,Yes,11,8
185,Yes,11,12
186,Yes,11,0
187,Yes,11,3
188,Yes,11,4
189,Yes,11,12
190,Yes,11,4
191,No,11,6
192,No,11,1
193,No,11,9
194,No,11,3
195,No,11,10
196,No,11,2
197,No,11,2
198,No,11,3
199,No,11,0
200,No,11,0
201,Exp,11,5
202,Exp,11,1
203,Exp,11,0
204,Exp,11,0
205,Exp,11,1
206,Exp,11,1
207,Exp,11,0
208,Exp,11,1
209,Exp,11,1
210,Exp,11,0