index,pyrazine,time,total_pop,plant_num,mean_pop
1,Yes,0,20,10,2
2,Yes,1,19,10,1.9
3,Yes,4,38,10,3.8
4,Yes,5,32,10,3.2
5,Yes,6,48,10,4.8
6,Yes,7,38,10,3.8
7,Yes,8,44,10,4.4
8,Yes,11,54,10,5.4
9,No,0,20,10,2
10,No,1,21,10,2.1
11,No,4,21,10,2.1
12,No,5,12,10,1.2
13,No,6,12,10,1.2
14,No,7,15,10,1.5
15,No,8,16,10,1.6
16,No,11,36,10,3.6
17,Exp,0,40,20,2
18,Exp,1,35,20,1.75
19,Exp,4,30,20,1.5
20,Exp,5,36,20,1.8
21,Exp,6,36,20,1.8
22,Exp,7,49,20,2.45
23,Exp,8,50,20,2.5
24,Exp,11,61,20,3.05